,School Name,Address,City,State,Zip,Mail Address,Mail City,State.1,Zip.1,Phone,Grade Range,Inst Email Address,Contact Salutation,First Name,Last Name,Contact Phone,Principals Email,Contact Type
224,Sacred Heart Catholic School,431 S Ivy,Medford,OR,97501.0,431 S Ivy,Medford,OR,97501.0,(541) 772-4105, Pre-8,preeder@shcs.org,,Patrick,Reeder,(541) 772-4105,preeder@shes.org,Principal
225,Cedar Hills Kindergarten & Preschool,11695 SW Parkway,Portland,OR,97225.0,PO Box 219006,Portland,OR,97225.0,(503) 643-9010, Pre-K,,Ms.,Erika,Hammond,(503) 649-4759,president@cedarhillskp.org,President
226,Archbishop Howard School,5309 NE Alameda,Portland,OR,97213.0,5309 NE Alameda,Portland,OR,97213.0,(503) 281-1912, Pre-8,principal@archbishophoward.org,Ms,Karen,Asbury,(503) 281-1912,principal@archbishophoward.org,Principal
227,Christ The King Parish School,7414 SE Michael Dr,Milwaukie,OR,97222.0,7414 SE Michael Dr,Milwaukie,OR,97222.0,(503) 654-0601, K-8,office@ctkweb.org,Mr,Michael,Doran,(503) 785-2411,principal@ctkweb.org,Principal
228,Emerald Christian Academy,35582 Zephyr Way,Pleasant Hill,OR,97455.0,35582 Zephyr Way,Pleasant Hill,OR,97455.0,(541) 746-1708, K-12,principal@emeraldchristianacademy.org,Mr,Jason,Strack,(541) 746-1708,principal@emeraldchristianacademy.org,Principal
229,Islamic School of Portland,10323 SW 43rd Ave,Portland,OR,97219.0,PO BOX 19895,Portland,OR,97280.0,(503) 244-9607, Pre-8,principal@ispdx.org,,Najah,Abdul-Jawad,(503) 244-9607,principal@ispdx.org,Principal
230,Life Lutheran School,710 E 17th Ave,Eugene,OR,97401.0,710 E 17th Ave,Eugene,OR,97401.0,(541) 342-5433, Pre-8,,Mr,Tim,Adsit,(541) 342-5433,principal@lifeschool.us,Principal
231,Regis High School,550 W Regis St,Stayton,OR,97383.0,550 W Regis St,Stayton,OR,97383.0,(503) 769-2159, 9-12,principal@regishighschool.net,Mr,douglas,Ierardi,(503) 769-2159,principal@regishighschool.net,Principal
232,St James Catholic School,206 NE Kirby St,McMinnville,OR,97128.0,206 NE Kirby St,McMinnville,OR,97128.0,(503) 472-2661, Pre-5,principal@stjamescatholicschool.org,Mrs.,Kelly,Cromwell,(503) 472-2661,principal@saintjamescatholicschool.org,Principal
233,St Joseph School,373 Winter St NE,Salem,OR,97301.0,373 Winter St NE,Salem,OR,97301.0,(503) 581-2147, K-6,principal@stjosephsalem.org,Mrs,Mari,Brooks,,principal@stjosephsalem.org,Principal
234,Trinity Lutheran,5520 NE Killingsworth,Portland,OR,97218.0,5520 NE Killingsworth,Portland,OR,97218.0,(503) 288-6403, Pre-8,principal@trinityportland.org,Mr,James,Riedl,(503) 288-6403,principal@trinityportland.org,Principal
235,Visitation Catholic School,4189 NW Visitation Rd,Forest Grove,OR,97116.0,4189 NW Visitation Rd,Forest Grove,OR,97116.0,(503) 357-6990, K-8,principal@vcsknights.org,Mr,Ted,Havens,(503) 357-6990,principal@vcsknights.org,Principal
236,Bethesda Lutheran Preschool,4445 Royal Ave,Eugene,OR,97402.0,4445 Royal Ave,Eugene,OR,97402.0,(541) 688-9085, Pre,,Ms,Bobbie,Clark,(541) 688-9085,psdirbobbie@comcast.net,Director
237,Patterson Preschool,1717 City View #4,Eugene,OR,97405.0,1717 City View #4,Eugene,OR,97405.0,(541) 345-0515, Pre,pumpkin@msn.com,Ms,Nikki,Siegel,(503) 345-0515,pumpkin@msn.com,Board Chairman
238,Tongue Point Job Corps Center,37573 Old Hwy 30,Astoria,OR,97103.0,37573 Old Hwy 30,Astoria,OR,97103.0,(503) 325-2131, 9-12,pyburn.nancy@jobcorps.org,Ms,Nancy,Pyburn,,pyburn.nancy@jobcorps.org,Center Director
239,Teaching Research Child Development Center,345 N Monmouth Ave,Monmouth,OR,97361.0,345 N Monmouth Ave,Monmouth,OR,97361.0,(503) 838-8769, Pre,raabm@wou.edu,Ms,Amanda,Raab,(503) 838-8769,raabm@wou.edu,Director
240,J Bar J Learning Centers - Boys Ranch Campus,62895 Hamby Rd,Bend,OR,97701.0,62895 Hamby Rd,Bend,OR,97701.0,(503) 389-1409, 8-12,rbuening@jbarj.org,Mr,Rick,Buening,(541) 389-1409,rabuening@bendbroadband.com,Director of Education
241,Milo Adventist Academy,324 Milo Dr,Days Creek,OR,97429.0,324 Milo Dr,Days Creek,OR,97429.0,(541) 825-3200, 9-12,randy.bovee@miloacademy.org,,Randall,Bovee,(541) 825-3200,randy.bovee@miloacademy.org,Principal
242,J Bar J Learning Centers - Sisters Academy Campus,63325 Silvis Rd,Bend,OR,97701.0,63325 Silvis Rd,Bend,OR,97701.0,(503) 389-1409, 8-12,rbuening@jbarj.org,Mr,Rick,Buening,,rbuening@jbarj.org,Director of Education
243,Mt Hood Community College Head Start-Russellville Site,10420 E Burnside,Portland,OR,97216.0,10100 NE Prescott,Portland,OR,97220.0,(503) 262-8710, Pre,,Ms,Roberta,Recken,,reckenr@mhcc.edu,Site Coordinator
244,Central Catholic High School,2401 SE Stark St,Portland,OR,97214.0,2401 SE Stark St,Portland,OR,97214.0,(503) 235-3138, 9-12,redwards@centralcatholichigh.org,Mr.,Ronald,Edwards,(503) 235-3138,redwards@centralcatholichigh.org,Principal
245,St Mary School,1066 N 6th Ave,Stayton,OR,97383.0,1066 N 6th Ave,Stayton,OR,97383.0,(503) 769-2718, Pre-8,rick.schindler@stmary-cs.org,Mr,Richard,Schindler,(503) 769-2718,rick.schindler@stmary-cs.org,Principal
246,Roseburg Junior Academy,1653 NW Troost,Roseburg,OR,97470.0,1653 NW Troost,Roseburg,OR,97470.0,(541) 673-5278, Pre-10,,Mr,Thomas,Harder,(541) 673-5278,rjaadmin@rosenet.net,Principal
247,Grace Christian School,649 Crater Lake Ave,Medford,OR,97504.0,649 Crater Lake Ave,Medford,OR,97504.0,(541) 772-1438, Pre-8,,Mr,M,Johnson,(541) 772-1438,rjohnson@gracechristian.org,Superintendent/Administrator
248,Grants Pass Adventist School,2250 NE Heidi Ln,Grants Pass,OR,97526.0,2250 NE Heidi Ln,Grants Pass,OR,97526.0,(541) 479-2293, Pre-10,rknauff@gpsdaschool.com,Mr,Roger,Knauff,(541) 479-2293,rknauff@gpsdaschool.com,Principal
249,South Lane Christian School,77820 Mosby Cr Rd,Cottage Grove,OR,97424.0,P O Box 698,Cottage Grove,OR,97424.0,(541) 942-0123, 1-12,rloyd@southlanecs.com,Mr,Randy,Loyd,(541) 942-0123,rloyd@southlanecs.com,Principal
250,Portland Waldorf School,2300 SE Harrison St,Milwaukie,OR,97222.0,2300 SE Harrison St,Milwaukie,OR,97222.0,(503) 654-2200, Pre-12,robert.cseko@portlandwaldorfschool.org,Mr.,Robert,Cseko,(503) 654-2200,robert.cseko@portlandwaldorfschool.org,Director
251,McKenzie River Christian School,45581 Vida Park Ln,Vida,OR,97488.0,PO Box I,Vida,OR,97488.0,(541) 896-0554, K-12,,Mr,Russ,Conklin,(541) 896-0554,russgayledee@aol.com,Administrator
252,SCDC-Forest Ridge Site,7905 June Reid Pl NE,Keizer,OR,97303.0,PO Box 7422,Salem,OR,97303.0,(503) 363-9821, Pre,scdcoffice@earthlink.net,Mrs,Sharon,Thompson,(503) 363-9821,scdcoffice@earthlink.net,Executive Director
253,Stayton Christian School,189 E Washington St,Stayton,OR,97383.0,189 E Washington St,Stayton,OR,97383.0,(503) 769-7578, Pre-8,,Mr,Tom,Truka,(503) 769-7578,scelem@wui.com,Administrator
254,Agia Sophia Academy,3131 NE Glisan St,Portland,OR,97232.0,3131 NE Glisan St,Portland,OR,97232.0,(503) 234-7031, Pre-6,schor@agiasophiaacademy.org,,Ingrid,Schor,(503) 234-9031,schor@agiasophiaacademy.org,Head of School
255,Westside Christian High School,4565 Carman Dr,Lake Oswego,OR,97035.0,4565 Carman Dr,Lake Oswego,OR,97035.0,(503) 697-4711, 9-12,,Mr,Andrew,Sears,(503) 697-4711,sears@westsidechristianhs.org,Administrator
256,Salem Christian Day School,1550 Market St NE,Salem,OR,97301.0,1550 Market St NE,Salem,OR,97301.0,(503) 375-2620, Pre-K,scds@salemnaz.org,Ms,Martha,Applegate,(503) 375-2620,seds@salemnaz.org,Director
257,Full Circle Countryside School,16077 SE Hwy 224,Clackamas,OR,97015.0,PO Box 811,Beavercreek,OR,97004.0,(503) 658-4350, Pre-8,shelley@fullcircleschool.org,Ms,Shelley,Urben,(503) 658-4350,shelley@fullcircleschool.org,Director
258,Silverton Christian School,229 Eureka Ave,Silverton,OR,97381.0,PO Box 338,Silverton,OR,97381.0,(503) 873-5131, Pre-8,,Mr,Jim,Farmer,(503) 873-5131,silvertonchristianschool@verizon.net,Administrator
259,Asante Child Development Riverside,945 S Riverside,Medford,OR,97501.0,945 S Riverside,Medford,OR,97501.0,, Pre,skline@asante.org,Ms,Sue,Kline,,skline@asante.org,Manager
260,Asante Child Development Services Jefferson Elementary,311 Holmes Ave,Medford,OR,97501.0,945 S Riverside,Medford,OR,97501.0,(541) 608-5252, Pre,skline@asante.org,Ms,Sue,Kline,,skline@asante.org,Manager
261,Asante Child Development Services Stewart,905 Stewart Ave,Medford,OR,97501.0,945 S Riverside,Medford,OR,97501.0,(541) 608-5252, Pre,skline@asante.org,Ms,Sue,Kline,,skline@asante.org,Manager
262,Asante Child Development Services White City,2830 Maple Ct,White City,OR,97503.0,945 S Riverside,Medford,OR,97501.0,(541) 608-5252, Pre,skline@asante.org,Ms,Sue,Kline,,skline@asante.org,Manager
263,Lents Education Center,4905 SE Woodstock,Portland,OR,97206.0,4905 SE Woodstock,Portland,OR,97206.0,(503) 771-7508, 7-12,,Mrs,Sue,Mowry,,smowry@JYP.org,Program Director
264,Tucker-Maxon Oral School,2860 SE Holgate Blvd,Portland,OR,97202.0,2860 SE Holgate Blvd,Portland,OR,97202.0,(503) 235-6551, Pre-5,snoyce@tmor.org,Mr,Steve,Noyce,(503) 235-6551,snoyce@tmor.org,Executive Director
265,St Paul Parochial School,20327 Christie St,St Paul,OR,97137.0,PO Box 188,St Paul,OR,97137.0,(503) 633-4622, Pre-12,spps@stpaultel.com,Mr,Charles,Geis,(503) 633-4622,spps@stpaultel.com,Principal
266,Solid Rock Christian School,Christmas Valley Rd,Christmas Valley,OR,97641.0,PO Box 745,Christmas Valley,OR,97641.0,(541) 576-2895, K-12,srcs@acninc.net,Ms,Dell,Wilson,(541) 576-2895,srcs@acninc.net,Principal/Teacher
267,Jesuit High School,9000 SW Beaverton Hwy,Portland,OR,97225.0,9000 SW Beaverton Hwy,Portland,OR,97225.0,(503) 292-2663, 9-12,,Ms,Sandra,Satterberg,(503) 292-2663,ssatterberg@jesuitportland.com,Principal
268,The Madeleine School,3240 NE 23rd Ave,Portland,OR,97212.0,3240 NE 23rd Ave,Portland,OR,97212.0,(503) 288-9197, K-8,ssteele@the madeleine.edu,Ms,Susan,Steele,(503) 288-9197,ssteele@themadelein.edu,Principal
269,St Therese School,1260 NE 132nd Ave,Portland,OR,97230.0,1260 NE 132nd Ave,Portland,OR,97230.0,(503) 253-9400, K-8,,Sr,Kathleen,Cordes,(503) 253-9400,st.therese@comcast.net,Principal
270,St Vincent DePaul School,1015 Columbia St NE,Salem,OR,97301.0,1015 Columbia St NE,Salem,OR,97301.0,(503) 363-8457, Pre-6,st.vprincipal@comcast.net,Mrs,Ruth,Whitnah,(503) 363-8457,st.viprincipal@comcast.net,Principal
271,"Sagewalk, The Wilderness School",PMB 333 1604 S Hwy 97 Ste 2,Redmond,OR,97756.0,PMB 333 1604 S Hwy 97 Ste 2,Redmond,OR,97756.0,(541) 316-4800, 8-12,larrys@sagewalk.com,Mr.,Stephen,Moroukian,(541) 316-4800,stevem@sagewalk.com,Director
272,St Mary's Catholic School,815 S Broadalbin St,Albany,OR,97321.0,815 S Broadalbin St,Albany,OR,97321.0,(541) 928-7474, K-8,stmarysch@proaxis.com,Mrs,Christina,Meadows,(541) 928-7474,stmarysch@proaxis.com,Principal
273,St Matthew Elementary School,221 SE Walnut St,Hillsboro,OR,97123.0,221 SE Walnut St,Hillsboro,OR,97123.0,(503) 648-2512, Pre-8,stmatthewprincipal@yahoo.com,Mrs.,Elizabeth,Moore-Mullen,(503) 648-2512,stmatthewprincipal@yahoo.com,Principal
274,St Thomas' Episcopal Preschool,1465 Coburg Rd,Eugene,OR,97401.0,1465 Coburg Rd,Eugene,OR,97401.0,(541) 484-0682, Pre,,Ms,Patricia,Lyon,(541) 484-0682,stthomaspreschool@netscape.com,Director
275,St Thomas Academy,1720 NW 19th St,Redmond,OR,97756.0,1720 NW 19th St,Redmond,OR,97756.0,(541) 923-0597, Pre-1,stthomasschool@aol.com,Supt,Roger,Richmond,(541) 923-0597,stthomasschool@aol.com,Superintendent
276,Childpeace Montessori Community School,1516 NW Thurman St,Portland,OR,97209.0,1516 NW Thurman St,Portland,OR,97209.0,(503) 222-1197, Pre-6,sue@childpeace.org,Ms,Sue,Pritzker,(503) 222-1197,sue@childpeace.org,Administrator
277,Clackamas County Children's Commission,16491 S Springwater Rd,Oregon City,OR,97045.0,16491 S Springwater Rd,Oregon City,OR,97045.0,(503) 631-8035, Pre,suee@cccchs.org,Ms,Sue,Elder,(503) 631-8035,suee@cccchs.org,Director
278,St John Fisher School,7101 SW 46th Ave,Portland,OR,97219.0,7101 SW 46th Ave,Portland,OR,97219.0,(503) 246-3234, K-8,sueh@sjfschool.org,,Sue,Harris,(503) 246-3234,sueh@sjfschool.org,Principal
279,St Mark Child Development Center,790 Marion NE,Salem,OR,97301.0,790 Marion NE,Salem,OR,97301.0,(503) 588-0141, Pre-K,summers4@open.org,Ms,Maureen,Summers,(503) 588-0141,summers4@open.org,Director
280,West Lake Montessori School,16106 SW Lake Forest Blvd,Lake Oswego,OR,97035.0,,,,,(503) 635-1493, Pre-K,sunny@westlakemontessorischool.com,Mrs.,Sunny,Kim,(503) 635-1493,sunny@westlakemontessorischool.com,Director
281,Sunrise Montessori School,22100 SW Grahams Ferry Rd,Tualatin,OR,97062.0,22100 SW Grahams Ferry Rd,Tualatin,OR,97062.0,(503) 885-1460, Pre-K,,Mrs,Katherine (Katie),Schmidt,(503) 885-1460,sunriseMschool@comcast.net,President
282,Oak Tree School,1625 Elm St,Forest Grove,OR,97116.0,PO Box 828,Forest Grove,OR,97116.0,(503) 357-4703, Pre-8,,Mrs,Susan,Rufai,(503) 357-4703,susan@oaktreeschool.org,Director
283,Klamath Falls SDA School,2499 Main St,Klamath Falls,OR,97601.0,2499 Main St,Klamath Falls,OR,97601.0,(541) 882-4151, K-12,,Ms,Susan,Meserall,(541) 882-4151,susan@teachersusan.net,Head Teacher
284,The Warner School,760 NW Hill Ave,Roseburg,OR,97470.0,760 NW Hill Ave,Roseburg,OR,97470.0,(541) 672-7761, 6-12,,Ms,Susan,Buell,(541) 672-7761,susan@ute1stop.org,Vice-President
285,YES House Alternative School,404 NW 23rd St,Corvallis,OR,97330.0,518 SW 3rd St,Corvallis,OR,97330.0,(541) 753-7801, 7-12,tanyapritt@msn.com,Ms,Tanya,Pritt,(541) 753-7801,tanyampritt@msn.com,Program Manager
286,LaSalle High School,11999 SE Fuller Rd,Milwaukie,OR,97222.0,11999 SE Fuller Rd,Milwaukie,OR,97222.0,(503) 659-4155, 9-12,,Mr,Thomas,Dudley,(503) 659-4155,tdudley@lshigh.org,Principal
287,Star of the Sea School,1411 Grand Ave,Astoria,OR,97103.0,1411 Grand Ave,Astoria,OR,97103.0,(503) 325-3771, K-8,,Dr,Terry,Campbell,(541) 325-3771,tecampbell@archdpdx.org,Principal
288,Gately Academy,205 NE 50th ,Portland,OR,97213.0,205 NE 50th ,Portland,OR,97213.0,(503) 215-2672, 5-8,fsalkin@providence.org,,Terry,Meisenburg,(503) 215-2672,terry.meisenburg@providence.org,Director
289,Community Services Consortium Lebanon Learning Opportunities Center,380 Market St,Lebanon,OR,97355.0,380 Market St,Lebanon,OR,97355.0,(541) 451-1071, 8-12,tgreenman@csc.gen.or.us,Ms,Tanarae,Greenman,(541) 451-1071,tgreenman@csc.gen.or.us,Principal
290,St Pius X School,1260 NW Saltzman Rd,Portland,OR,97229.0,1260 NW Saltzman Rd,Portland,OR,97229.0,(503) 644-3244, K-8,thompsonm@stpiusx-pdx.org,Ms,Mary,Thompson,(541) 644-3244,thompsonm@stpiusx-pdx.org,Principal
291,Damascus Christian School,14251 SE Rust Way,Damascus,OR,97089.0,14251 SE Rust Way,Damascus,OR,97089.0,(503) 658-4100, K-12,timoakley@damascuscc.org,Mr,Tim,Oakley,(503) 658-4100,timoakley@damascuscc.org,Administrator
292,Tree of Knowledge,24457 SE Stark St,Gresham,OR,97030.0,,,,,(503) 666-6654, Pre,tok97030@earthlink.net,Ms,Debbie,Curtis,,tok97030@earthlink.net,Director
293,Country Christian School,16975 S Hwy 211,Molalla,OR,97038.0,16975 S Hwy 211,Molalla,OR,97038.0,(503) 829-5503, Pre-12,tom&cheri@the-countrychurch.org,Mr.,Thomas,Axmaker,(503) 829-5503,tom&cheri@the-countrychurch.org,Principal
294,Lifegate School,1052 Fairfield Avenue,Eugene,OR,97402.0,1052 Fairfield Avenue,Eugene,OR,97402.0,(541) 689-5847, Pre-12,to@lifegatechristian.org,Mr,Tom,Gregersen,(541) 689-5847,tom@lifegatechristian.org,Administrator
295,West Hills Schools Montessori & Elem Prog-Lake Oswego,4515 Parkview Dr,Lake Oswego,OR,97035.0,4920 SW Vermont St,Portland,OR,97219.0,(503) 246-5495, Pre-K,tressieb@aol.com,Ms,Anne,Blickenstaff,(503) 246-5495,tressieb@aol.com,Administrator
296,Grace Christian School,649 Crater Lake Ave,Medford,OR,97504.0,649 Crater Lake Ave,Medford,OR,97504.0,(541) 772-1438, Pre-8,,,Terry,Roehl,(541) 772-1438,troehl@gracechristian.org,Principal
297,Treasure Valley Christian School,386 N Verde Dr,Ontario,OR,97914.0,386 N Verde Dr,Ontario,OR,97914.0,(541) 889-4662, Pre-8,,Mr,Roger,Stramel,(541) 889-4662,tvcs@fmtc.com,Principal
298,Unity School Inc,580 N Garden Way,Eugene,OR,97401.0,580 N Garden Way,Eugene,OR,97401.0,(541) 484-0107, Pre-K,bartonunity@comcast.net,Ms,Carol,Barton,,unityschool@peak.org,Executive Director
299,Outside In,1132 SW 13th Ave,Portland,OR,97205.0,1132 SW 13th Ave,Portland,OR,97205.0,(503) 535-3813, 9-12,vivians@outsidein.org,Ms,Vivian,Scott,(503) 535-3813,vivians@outsidein.org,Coordinator
300,Willamette Christian School,2707 Maranatha Ct SE,Turner,OR,97392.0,2707 Maranatha Ct SE,Turner,OR,97392.0,(503) 391-9082, K-8,,Mr,Jerry,Huhn,(503) 391-9082,wcseagles@willamettechristianschool.org,Principal
301,Angell Civilian Conservation Center,335 NE Blodgett Rd,Yachats,OR,97498.0,335 NE Blodgett Rd,Yachats,OR,97498.0,(541) 547-5604, 9-12,whankins@fs.fed.us,Mr.,Wesley,Hankins,(541) 547-5604,whankins@fs.fed.us,Principal/Teacher
302,Willamette Valley Christian School,9075 Pueblo Ave NE,Brooks,OR,97305.0,PO Box 9088,Brooks,OR,97305.0,(503) 393-5236, K-12,,Mr,Gary,Glassco,(503) 393-5236,wvcsoffice@familysafeweb.net,Administrative Principal
303,FCI/FPC/FDC Sheridan Education Dept,27072 Ballston Rd,Sheridan,OR,97378.0,PO Box 8000,Sheridan,OR,97378.0,(503) 843-4442, Nongraded,wxxbrown@bop.gov,Mr,William,Brown Jr,(503) 843-4442,wxxbrown@bop.bov,Principal
304,Zion Lutheran School,2800 NW Tyler,Corvallis,OR,97330.0,2800 NW Tyler,Corvallis,OR,97330.0,(541) 753-7503, Pre-8,zionschool@proaxis.com,Mr,Vincent,Straub,(541) 753-7503,zionschool@proaxis.com,Principal
305,,,,,,,,,,,,,,,,,,
306,,,,,,,,,,,,,,,,,,
